product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
B0416836764,Producto Computers&Accessories 0,Computers&Accessories,₹874,"₹4,163",79%,4.1,"8,922"
B0490841834,Producto Car&Motorbike 1,Car&Motorbike,₹510,"₹1,021",50%,|,"13,556"
B0128388400,Producto Home&Kitchen 2,Home&Kitchen,"₹1,128","₹1,880",40%,3.2,"1,326"
B0269299842,Producto Computers&Accessories 3,Computers&Accessories,"₹1,301","₹2,711",52%,3.7,"5,650"
B0199799663,Producto Electronics 4,Electronics,"₹4,168","₹6,833",39%,4.1,"3,386"
B0861523652,Producto Electronics 5,Electronics,"₹2,365","₹5,032",53%,3.3,"2,155"
B0244323899,Producto Electronics 6,Electronics,"₹2,764","₹7,896",65%,|,"8,315"
B0762925398,Producto OfficeProducts 7,OfficeProducts,₹303,₹541,44%,4.2,"12,430"
B0358525053,Producto Computers&Accessories 8,Computers&Accessories,₹382,₹627,39%,4.2,"3,472"
B0623279833,Producto Home&Kitchen 9,Home&Kitchen,₹136,₹238,43%,4.2,"13,162"
B0117035545,Producto Electronics 10,Electronics,₹272,₹717,62%,4.3,"2,862"
B0492279113,Producto Car&Motorbike 11,Car&Motorbike,₹529,₹979,46%,4.5,"14,738"
B0578257604,Producto MusicalInstruments 12,MusicalInstruments,"₹1,706","₹2,843",40%,4.3,"5,345"
B0299946286,Producto Electronics 13,Electronics,"₹1,228","₹1,833",33%,4.0,"5,097"
B0198043467,Producto Electronics 14,Electronics,"₹1,248","₹1,863",33%,3.9,"1,039"
B0536071519,Producto Electronics 15,Electronics,"₹1,811","₹2,293",21%,4.0,"2,092"
B0133061801,Producto Electronics 16,Electronics,"₹1,444","₹3,282",56%,4.0,"4,820"
B0629025054,Producto Computers&Accessories 17,Computers&Accessories,"₹3,129","₹5,395",42%,4.3,"11,672"
B0443878165,Producto Computers&Accessories 18,Computers&Accessories,₹209,₹308,32%,4.1,"3,294"
B0519153936,Producto Electronics 19,Electronics,"₹2,058","₹5,415",62%,3.9,"2,155"
B0976698835,Producto Computers&Accessories 20,Computers&Accessories,"₹1,989","₹3,157",37%,4.4,"6,015"
B0611481491,Producto Electronics 21,Electronics,"₹1,743","₹2,723",36%,3.9,"15,802"
B0795051498,Producto Electronics 22,Electronics,"₹2,181","₹4,452",51%,3.8,"5,715"
B0462705287,Producto Computers&Accessories 23,Computers&Accessories,₹645,"₹1,793",64%,4.1,"4,529"
B0395410670,Producto Computers&Accessories 24,Computers&Accessories,"₹2,021","₹3,109",35%,3.8,"4,416"
B0557523553,Producto Home&Kitchen 25,Home&Kitchen,₹442,₹582,24%,4.2,"1,527"
B0581276208,Producto Electronics 26,Electronics,₹871,"₹1,383",37%,3.8,"11,145"
B0612218710,Producto Computers&Accessories 27,Computers&Accessories,₹159,₹270,41%,4.0,"12,748"
B0896210725,Producto Computers&Accessories 28,Computers&Accessories,"₹1,256","₹2,792",55%,4.3,"2,170"
B0516861748,Producto Electronics 29,Electronics,₹742,"₹2,006",63%,3.9,"14,763"
B0583567131,Producto Computers&Accessories 30,Computers&Accessories,₹111,₹428,74%,4.2,"7,941"
B0830494540,Producto Electronics 31,Electronics,₹590,"₹1,405",58%,3.8,"8,041"
B0252655772,Producto Electronics 32,Electronics,"₹2,782","₹4,968",44%,4.1,"4,576"
B0603773692,Producto Toys&Games 33,Toys&Games,₹669,₹847,21%,4.1,"3,697"
B0774562759,Producto Car&Motorbike 34,Car&Motorbike,₹294,₹544,46%,4.0,"2,421"
B0469374602,Producto Home&Kitchen 35,Home&Kitchen,"₹2,362","₹3,150",25%,4.0,"1,365"
B0955076270,Producto Electronics 36,Electronics,"₹1,194","₹3,143",62%,4.2,"2,115"
B0243141548,Producto Electronics 37,Electronics,"₹2,635","₹4,706",44%,3.9,"10,040"
B0554538001,Producto Home&Kitchen 38,Home&Kitchen,"₹1,015","₹1,390",27%,4.2,"4,650"
B0882656344,Producto Computers&Accessories 39,Computers&Accessories,₹945,"₹1,658",43%,4.4,"2,155"
B0156479920,Producto Electronics 40,Electronics,"₹1,837","₹4,480",59%,3.8,"5,008"
B0585337532,Producto Computers&Accessories 41,Computers&Accessories,"₹1,953","₹4,543",57%,4.5,854
B0647028706,Producto Electronics 42,Electronics,"₹1,464","₹2,615",44%,3.9,"1,674"
B0367250814,Producto HomeImprovement 43,HomeImprovement,"₹1,409","₹1,698",17%,4.5,"10,261"
B0443870812,Producto Electronics 44,Electronics,₹623,"₹1,831",66%,4.0,"3,255"
B0733997332,Producto Home&Kitchen 45,Home&Kitchen,"₹1,905","₹3,969",52%,4.2,"12,340"
B0403602679,Producto Electronics 46,Electronics,₹794,"₹1,620",51%,4.2,"4,782"
B0262992838,Producto Computers&Accessories 47,Computers&Accessories,"₹4,223","₹8,122",48%,3.9,"7,727"
B0404978620,Producto Computers&Accessories 48,Computers&Accessories,₹426,₹656,35%,4.0,"1,180"
B0970872907,Producto Electronics 49,Electronics,₹500,"₹2,500",80%,4.5,"12,011"
B0236588707,Producto Car&Motorbike 50,Car&Motorbike,₹784,"₹1,743",55%,3.9,212
B0806863255,Producto Home&Kitchen 51,Home&Kitchen,"₹1,140","₹2,850",60%,3.9,"3,213"
B0756755871,Producto Toys&Games 52,Toys&Games,₹900,"₹2,144",58%,3.7,"11,647"
B0923298906,Producto OfficeProducts 53,OfficeProducts,"₹1,201","₹1,740",31%,4.4,"4,712"
B0268349151,Producto Computers&Accessories 54,Computers&Accessories,"₹2,035","₹2,826",28%,3.8,"1,248"
B0957531834,Producto Toys&Games 55,Toys&Games,₹219,₹385,43%,4.3,"12,687"
B0165359967,Producto Electronics 56,Electronics,"₹3,991","₹6,543",39%,3.8,"16,931"
B0274804319,Producto Electronics 57,Electronics,"₹2,971","₹7,074",58%,4.4,"4,816"
B0310587609,Producto Electronics 58,Electronics,"₹2,005","₹4,178",52%,4.3,825
B0405802093,Producto Electronics 59,Electronics,"₹1,367","₹2,136",36%,3.9,"3,981"
B0961670993,Producto Computers&Accessories 60,Computers&Accessories,₹573,₹764,25%,3.8,"5,894"
B0689288063,Producto Electronics 61,Electronics,"₹1,033","₹1,813",43%,3.8,"3,257"
B0450006630,Producto Home&Kitchen 62,Home&Kitchen,₹299,₹650,54%,3.8,259
B0167970180,Producto Computers&Accessories 63,Computers&Accessories,"₹1,518","₹2,138",29%,4.3,"7,310"
B0991877775,Producto Electronics 64,Electronics,"₹4,196","₹6,767",38%,4.0,"1,959"
B0945855882,Producto Computers&Accessories 65,Computers&Accessories,₹815,"₹2,263",64%,3.7,"2,954"
B0411744757,Producto Electronics 66,Electronics,₹294,"₹1,130",74%,4.0,931
B0617405986,Producto Home&Kitchen 67,Home&Kitchen,"₹1,579","₹2,051",23%,3.9,81
B0793989487,Producto Electronics 68,Electronics,"₹5,202","₹11,308",54%,3.4,999
B0291897290,Producto Health&PersonalCare 69,Health&PersonalCare,₹317,₹538,41%,3.9,"2,394"
B0799471017,Producto Home&Kitchen 70,Home&Kitchen,₹483,₹700,31%,4.2,"2,417"
B0699537238,Producto Electronics 71,Electronics,"₹1,058","₹1,374",23%,3.9,"10,192"
B0733507152,Producto Electronics 72,Electronics,"₹2,147","₹5,237",59%,4.1,"1,766"
B0851912073,Producto Home&Kitchen 73,Home&Kitchen,"₹1,503","₹3,495",57%,4.2,"12,093"
B0133715793,Producto Home&Kitchen 74,Home&Kitchen,₹537,₹976,45%,3.9,"4,799"
B0850699755,Producto Home&Kitchen 75,Home&Kitchen,₹328,₹801,59%,4.3,"20,558"
B0908433287,Producto Home&Kitchen 76,Home&Kitchen,₹502,"₹1,322",62%,4.5,"6,178"
B0817164538,Producto Electronics 77,Electronics,"₹3,121","₹5,780",46%,3.6,"3,117"
B0174464258,Producto Computers&Accessories 78,Computers&Accessories,₹601,"₹1,093",45%,|,121
B0371546483,Producto Electronics 79,Electronics,"₹2,172","₹3,950",45%,4.7,"1,703"
B0823793367,Producto OfficeProducts 80,OfficeProducts,₹500,₹962,48%,4.1,"4,188"
B0295210370,Producto Computers&Accessories 81,Computers&Accessories,"₹1,554","₹3,172",51%,4.0,"4,202"
B0495217829,Producto Electronics 82,Electronics,₹493,"₹1,263",61%,4.0,"11,075"
B0622952577,Producto Electronics 83,Electronics,"₹1,157","₹1,523",24%,4.3,"5,816"
B0806088418,Producto Electronics 84,Electronics,"₹1,247","₹3,564",65%,3.8,"15,712"
B0378916496,Producto Electronics 85,Electronics,"₹4,358","₹5,516",21%,4.2,"7,803"
B0246728136,Producto Home&Kitchen 86,Home&Kitchen,"₹2,499","₹4,715",47%,3.9,"8,310"
B0803574307,Producto Home&Kitchen 87,Home&Kitchen,₹244,₹443,45%,3.8,"16,985"
B0272433374,Producto OfficeProducts 88,OfficeProducts,₹274,₹805,66%,4.0,"11,119"
B0816166753,Producto Computers&Accessories 89,Computers&Accessories,₹916,"₹2,081",56%,4.0,"14,051"
B0637048279,Producto Electronics 90,Electronics,"₹2,022","₹2,324",13%,3.8,362
B0973100923,Producto Home&Kitchen 91,Home&Kitchen,"₹1,266","₹2,753",54%,4.3,"4,159"
B0609915720,Producto Home&Kitchen 92,Home&Kitchen,"₹1,621","₹1,885",14%,3.7,"3,594"
B0935499897,Producto Computers&Accessories 93,Computers&Accessories,"₹1,764","₹3,208",45%,4.1,"4,988"
B0138578154,Producto Home&Kitchen 94,Home&Kitchen,₹388,₹417,7%,4.1,"1,282"
B0947875713,Producto Computers&Accessories 95,Computers&Accessories,₹704,"₹1,564",55%,4.1,"10,037"
B0639346388,Producto Computers&Accessories 96,Computers&Accessories,"₹1,386","₹2,166",36%,4.2,"10,324"
B0635305633,Producto Computers&Accessories 97,Computers&Accessories,"₹1,470","₹2,371",38%,3.9,"3,619"
B0165015834,Producto Electronics 98,Electronics,"₹11,686","₹14,607",20%,4.1,"2,674"
B0697665444,Producto Electronics 99,Electronics,"₹1,570","₹2,617",40%,4.2,"2,810"
B0253377347,Producto Electronics 100,Electronics,₹101,₹140,28%,4.2,"8,090"
B0930136333,Producto Home&Kitchen 101,Home&Kitchen,₹630,"₹1,313",52%,3.5,"2,784"
