id_venta,fecha,pais,categoria,precio_unitario,cantidad,precio_total,metodo_pago,calificacion,edad_cliente
1032,15/01/2024,mexico,Ropa,,3,1526.61,Tarjeta,5.0,-5.0
1369,,Perú,Ropa,448.66,1,448.66,,3.0,25.0
1511,2024-02-20,MEXICO,,,1,226.06,Efectivo,2.0,
1385,,MX,Hogar,15.11,1,15.11,paypal,5.0,18.0
1325,,MX,electronica,845.77,3,2537.31,,2.0,18.0
1376,2024-02-20,México,Hogar,366.92,2,733.84,tarjeta,3.0,
1349,2024/04/10,mexico,electronica,242.63,1,242.63,efectivo,,25.0
1227,2024-05-25,ESPAÑA,juguetes,346.08,2,692.16,,99.0,200.0
1383,,MX,Hogar,1187.06,3,3561.18,PayPal,1.0,52.0
1060,2024-01-15,MEXICO,Electrónica,906.12,1,906.12,tarjeta,,25.0
1284,2024/04/10,México,Ropa,301.54,1,$301.54,tarjeta,4.0,200.0
1516,15/01/2024,México,Electronica ,917.51,1,917.51,PayPal,3.0,200.0
1089,2024-01-15,MEXICO,Ropa,1383.97,1,1383.97,PayPal,,52.0
1494,01-03-2024,México,Juguetes,33.03,1,$33.03,,3.0,200.0
1495,15/01/2024,Colombia,Electrónica,581.86,1,581.86,efectivo,5.0,18.0
1189,,MX,ROPA,165.84,1,$165.84,,1.0,25.0
1065,2024-01-15,ESPAÑA,ROPA,472.81,1,472.81,,1.0,
1276,2024-02-20,Colombia,Juguetes,163.96,1,$163.96,paypal,4.0,-5.0
1097,,España,ROPA,397.46,2,794.92,Tarjeta,4.0,
1317,15/01/2024,MX,Hogar,1329.62,1,1329.62,,5.0,200.0
1574,,MEXICO,,479.25,1,479.25,efectivo,3.0,34.0
1551,2024/04/10,Perú,Ropa,384.91,1,$384.91,efectivo,2.0,200.0
1391,2024-01-15,México,,804.62,1,804.62,Tarjeta,4.0,52.0
1044,2024-02-20,Peru,Electronica ,273.25,3,819.75,PayPal,3.0,25.0
1336,2024-05-25,colombia,Electrónica,253.42,1,253.42,,2.0,
1094,15/01/2024,Peru,Electronica ,891.86,2,$1783.72,Efectivo,99.0,18.0
1054,,México,Electrónica,,1,468.63,PayPal,5.0,52.0
1438,15/01/2024,España,Electrónica,1181.36,1,$1181.36,,99.0,
1040,2024-05-25,España,Juguetes,254.95,4,1019.8,Tarjeta,4.0,18.0
1087,01-03-2024,mexico,Electrónica,,2,2065.78,PayPal,,52.0
1039,,MEXICO,hogar,239.19,1,$239.19,,4.0,
1132,01-03-2024,España,ROPA,912.13,1,912.13,Efectivo,5.0,18.0
1116,2024-05-25,Colombia,Ropa,1650.86,2,3301.72,tarjeta,2.0,
1004,15/01/2024,mexico,hogar,441.69,1,441.69,efectivo,99.0,25.0
1252,2024-01-15,MEXICO,juguetes,661.42,1,$661.42,paypal,,25.0
1454,2024/04/10,colombia,Electronica ,668.69,2,1337.38,Efectivo,,18.0
1002,15/01/2024,España,Hogar,381.4,3,1144.2,efectivo,1.0,25.0
1334,01-03-2024,MEXICO,Electrónica,1546.59,1,1546.59,Efectivo,5.0,-5.0
1178,2024-05-25,MEXICO,hogar,589.1,4,2356.4,paypal,,
1090,2024-05-25,ESPAÑA,Electrónica,1047.41,1,1047.41,Tarjeta,1.0,52.0
1400,15/01/2024,México,hogar,116693.5,4,466774.0,Efectivo,,18.0
1565,2024-05-25,España,Hogar,941.73,1,941.73,PayPal,1.0,-5.0
1098,,ESPAÑA,,1125.88,5,5629.4,Efectivo,2.0,-5.0
1212,15/01/2024,colombia,juguetes,5604.0,3,$16812.0,paypal,5.0,-5.0
1342,2024-02-20,colombia,Electrónica,428.92,1,428.92,Tarjeta,4.0,-5.0
1327,2024-05-25,Peru,Electrónica,121.14,2,242.28,tarjeta,3.0,18.0
1396,2024-05-25,mexico,hogar,261.31,1,261.31,Tarjeta,2.0,52.0
1384,01-03-2024,MEXICO,electronica,569.86,2,$1139.72,paypal,5.0,34.0
1068,15/01/2024,Perú,Electrónica,938.27,2,1876.54,tarjeta,,200.0
1457,15/01/2024,Peru,juguetes,568.37,1,568.37,tarjeta,1.0,34.0
1297,,,Hogar,21.05,1,$21.05,,5.0,25.0
1537,2024-02-20,Colombia,Electrónica,889.38,4,3557.52,paypal,99.0,18.0
1037,2024-01-15,  México ,ROPA,4028.4999999999995,1,$4028.5,,99.0,34.0
1077,2024/04/10,México,Electronica ,642.69,1,$642.69,paypal,1.0,34.0
1155,2024/04/10,Perú,Ropa,1017.03,1,1017.03,Efectivo,4.0,18.0
1062,01-03-2024,mexico,Electrónica,248.26,1,$248.26,efectivo,1.0,-5.0
1363,01-03-2024,España,juguetes,717.56,2,1435.12,Efectivo,99.0,200.0
1351,2024-02-20,colombia,,45917.5,2,91835.0,Efectivo,,-5.0
1553,15/01/2024,,hogar,110.61,1,$110.61,tarjeta,2.0,52.0
1591,2024/04/10,Peru,hogar,616.09,1,616.09,paypal,1.0,52.0
1072,15/01/2024,México,hogar,624.05,1,624.05,Tarjeta,3.0,52.0
1221,2024-05-25,mexico,Hogar,608.86,2,1217.72,paypal,4.0,52.0
1250,2024/04/10,Colombia,electronica,885.09,1,885.09,tarjeta,5.0,18.0
1267,2024-02-20,ESPAÑA,electronica,,1,746.01,Tarjeta,,34.0
1139,15/01/2024,MX,Electrónica,170.68,2,341.36,Tarjeta,5.0,52.0
1021,01-03-2024,España,Electrónica,553.59,2,1107.18,paypal,1.0,
