product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
B0416836764,Producto Computers&Accessories 0,Computers&Accessories,874.0,4163.0,79.0,4.1,8922.0
B0490841834,Producto Car&Motorbike 1,Car&Motorbike,510.0,1021.0,50.0,4.0,13556.0
B0128388400,Producto Home&Kitchen 2,Home&Kitchen,1128.0,1880.0,40.0,3.2,1326.0
B0269299842,Producto Computers&Accessories 3,Computers&Accessories,1301.0,2711.0,52.0,3.7,5650.0
B0199799663,Producto Electronics 4,Electronics,4168.0,6833.0,39.0,4.1,3386.0
B0861523652,Producto Electronics 5,Electronics,2365.0,5032.0,53.0,3.3,2155.0
B0244323899,Producto Electronics 6,Electronics,2764.0,7896.0,65.0,4.1,8315.0
B0762925398,Producto OfficeProducts 7,OfficeProducts,303.0,541.0,44.0,4.2,12430.0
B0358525053,Producto Computers&Accessories 8,Computers&Accessories,382.0,627.0,39.0,4.2,3472.0
B0623279833,Producto Home&Kitchen 9,Home&Kitchen,136.0,238.0,43.0,4.2,13162.0
B0117035545,Producto Electronics 10,Electronics,272.0,717.0,62.0,4.3,2862.0
B0492279113,Producto Car&Motorbike 11,Car&Motorbike,529.0,979.0,46.0,4.5,14738.0
B0578257604,Producto MusicalInstruments 12,MusicalInstruments,1706.0,2843.0,40.0,4.3,5345.0
B0299946286,Producto Electronics 13,Electronics,1228.0,1833.0,33.0,4.0,5097.0
B0198043467,Producto Electronics 14,Electronics,1248.0,1863.0,33.0,3.9,1039.0
B0536071519,Producto Electronics 15,Electronics,1811.0,2293.0,21.0,4.0,2092.0
B0133061801,Producto Electronics 16,Electronics,1444.0,3282.0,56.0,4.0,4820.0
B0629025054,Producto Computers&Accessories 17,Computers&Accessories,3129.0,5395.0,42.0,4.3,11672.0
B0443878165,Producto Computers&Accessories 18,Computers&Accessories,209.0,308.0,32.0,4.1,3294.0
B0519153936,Producto Electronics 19,Electronics,2058.0,5415.0,62.0,3.9,2155.0
B0976698835,Producto Computers&Accessories 20,Computers&Accessories,1989.0,3157.0,37.0,4.4,6015.0
B0611481491,Producto Electronics 21,Electronics,1743.0,2723.0,36.0,3.9,15802.0
B0795051498,Producto Electronics 22,Electronics,2181.0,4452.0,51.0,3.8,5715.0
B0462705287,Producto Computers&Accessories 23,Computers&Accessories,645.0,1793.0,64.0,4.1,4529.0
B0395410670,Producto Computers&Accessories 24,Computers&Accessories,2021.0,3109.0,35.0,3.8,4416.0
B0557523553,Producto Home&Kitchen 25,Home&Kitchen,442.0,582.0,24.0,4.2,1527.0
B0581276208,Producto Electronics 26,Electronics,871.0,1383.0,37.0,3.8,11145.0
B0612218710,Producto Computers&Accessories 27,Computers&Accessories,159.0,270.0,41.0,4.0,12748.0
B0896210725,Producto Computers&Accessories 28,Computers&Accessories,1256.0,2792.0,55.0,4.3,2170.0
B0516861748,Producto Electronics 29,Electronics,742.0,2006.0,63.0,3.9,14763.0
B0583567131,Producto Computers&Accessories 30,Computers&Accessories,111.0,428.0,74.0,4.2,7941.0
B0830494540,Producto Electronics 31,Electronics,590.0,1405.0,58.0,3.8,8041.0
B0252655772,Producto Electronics 32,Electronics,2782.0,4968.0,44.0,4.1,4576.0
B0603773692,Producto Toys&Games 33,Toys&Games,669.0,847.0,21.0,4.1,3697.0
B0774562759,Producto Car&Motorbike 34,Car&Motorbike,294.0,544.0,46.0,4.0,2421.0
B0469374602,Producto Home&Kitchen 35,Home&Kitchen,2362.0,3150.0,25.0,4.0,1365.0
B0955076270,Producto Electronics 36,Electronics,1194.0,3143.0,62.0,4.2,2115.0
B0243141548,Producto Electronics 37,Electronics,2635.0,4706.0,44.0,3.9,10040.0
B0554538001,Producto Home&Kitchen 38,Home&Kitchen,1015.0,1390.0,27.0,4.2,4650.0
B0882656344,Producto Computers&Accessories 39,Computers&Accessories,945.0,1658.0,43.0,4.4,2155.0
B0156479920,Producto Electronics 40,Electronics,1837.0,4480.0,59.0,3.8,5008.0
B0585337532,Producto Computers&Accessories 41,Computers&Accessories,1953.0,4543.0,57.0,4.5,854.0
B0647028706,Producto Electronics 42,Electronics,1464.0,2615.0,44.0,3.9,1674.0
B0367250814,Producto HomeImprovement 43,HomeImprovement,1409.0,1698.0,17.0,4.5,10261.0
B0443870812,Producto Electronics 44,Electronics,623.0,1831.0,66.0,4.0,3255.0
B0733997332,Producto Home&Kitchen 45,Home&Kitchen,1905.0,3969.0,52.0,4.2,12340.0
B0403602679,Producto Electronics 46,Electronics,794.0,1620.0,51.0,4.2,4782.0
B0262992838,Producto Computers&Accessories 47,Computers&Accessories,4223.0,8122.0,48.0,3.9,7727.0
B0404978620,Producto Computers&Accessories 48,Computers&Accessories,426.0,656.0,35.0,4.0,1180.0
B0970872907,Producto Electronics 49,Electronics,500.0,2500.0,80.0,4.5,12011.0
B0236588707,Producto Car&Motorbike 50,Car&Motorbike,784.0,1743.0,55.0,3.9,212.0
B0806863255,Producto Home&Kitchen 51,Home&Kitchen,1140.0,2850.0,60.0,3.9,3213.0
B0756755871,Producto Toys&Games 52,Toys&Games,900.0,2144.0,58.0,3.7,11647.0
B0923298906,Producto OfficeProducts 53,OfficeProducts,1201.0,1740.0,31.0,4.4,4712.0
B0268349151,Producto Computers&Accessories 54,Computers&Accessories,2035.0,2826.0,28.0,3.8,1248.0
B0957531834,Producto Toys&Games 55,Toys&Games,219.0,385.0,43.0,4.3,12687.0
B0165359967,Producto Electronics 56,Electronics,3991.0,6543.0,39.0,3.8,16931.0
B0274804319,Producto Electronics 57,Electronics,2971.0,7074.0,58.0,4.4,4816.0
B0310587609,Producto Electronics 58,Electronics,2005.0,4178.0,52.0,4.3,825.0
B0405802093,Producto Electronics 59,Electronics,1367.0,2136.0,36.0,3.9,3981.0
B0961670993,Producto Computers&Accessories 60,Computers&Accessories,573.0,764.0,25.0,3.8,5894.0
B0689288063,Producto Electronics 61,Electronics,1033.0,1813.0,43.0,3.8,3257.0
B0450006630,Producto Home&Kitchen 62,Home&Kitchen,299.0,650.0,54.0,3.8,259.0
B0167970180,Producto Computers&Accessories 63,Computers&Accessories,1518.0,2138.0,29.0,4.3,7310.0
B0991877775,Producto Electronics 64,Electronics,4196.0,6767.0,38.0,4.0,1959.0
B0945855882,Producto Computers&Accessories 65,Computers&Accessories,815.0,2263.0,64.0,3.7,2954.0
B0411744757,Producto Electronics 66,Electronics,294.0,1130.0,74.0,4.0,931.0
B0617405986,Producto Home&Kitchen 67,Home&Kitchen,1579.0,2051.0,23.0,3.9,81.0
B0793989487,Producto Electronics 68,Electronics,5202.0,11308.0,54.0,3.4,999.0
B0291897290,Producto Health&PersonalCare 69,Health&PersonalCare,317.0,538.0,41.0,3.9,2394.0
B0799471017,Producto Home&Kitchen 70,Home&Kitchen,483.0,700.0,31.0,4.2,2417.0
B0699537238,Producto Electronics 71,Electronics,1058.0,1374.0,23.0,3.9,10192.0
B0733507152,Producto Electronics 72,Electronics,2147.0,5237.0,59.0,4.1,1766.0
B0851912073,Producto Home&Kitchen 73,Home&Kitchen,1503.0,3495.0,57.0,4.2,12093.0
B0133715793,Producto Home&Kitchen 74,Home&Kitchen,537.0,976.0,45.0,3.9,4799.0
B0850699755,Producto Home&Kitchen 75,Home&Kitchen,328.0,801.0,59.0,4.3,20558.0
B0908433287,Producto Home&Kitchen 76,Home&Kitchen,502.0,1322.0,62.0,4.5,6178.0
B0817164538,Producto Electronics 77,Electronics,3121.0,5780.0,46.0,3.6,3117.0
B0174464258,Producto Computers&Accessories 78,Computers&Accessories,601.0,1093.0,45.0,3.9,121.0
B0371546483,Producto Electronics 79,Electronics,2172.0,3950.0,45.0,4.7,1703.0
