empleado_id,departamento,nivel,ciudad,educacion,edad,salario_mensual,horas_semana,proyectos_completados,satisfaccion,fecha_ingreso
1000,Ventas,Junior,Querétaro,Licenciatura,24,28193.13,49,10,1.6,2016-08-18
1001,Marketing,Lead,Monterrey,Licenciatura,23,59236.19,52,10,4.4,2017-01-12
1002,Recursos Humanos,Junior,Puebla,Licenciatura,27,33076.34,47,5,4.7,2017-11-30
1003,Finanzas,Lead,Puebla,Técnico,56,89067.13,37,10,2.8,2020-06-16
1004,Ventas,Lead,Querétaro,Doctorado,45,73832.11,38,6,2.4,2023-03-18
1005,Tecnología,Junior,Monterrey,Maestría,57,50246.63,50,5,4.0,2019-02-21
1006,Tecnología,Senior,CDMX,Técnico,45,81568.65,35,15,1.2,2020-09-10
1007,Recursos Humanos,Junior,Puebla,Técnico,56,35470.6,42,7,1.9,2021-04-04
1008,Tecnología,Junior,Puebla,Maestría,56,65611.94,44,8,3.5,2024-09-02
1009,Tecnología,Junior,Querétaro,Maestría,43,45456.77,46,7,2.4,2015-12-14
1010,Ventas,Semi-Senior,Querétaro,Maestría,33,53653.81,35,4,2.2,2015-02-09
1011,Finanzas,Senior,Puebla,Doctorado,52,70721.67,51,10,2.8,2016-10-27
1012,Finanzas,Junior,CDMX,Técnico,56,49867.88,54,8,1.2,2023-06-06
1013,Tecnología,Junior,Guadalajara,Licenciatura,42,43307.35,40,9,3.6,2020-03-30
1014,Marketing,Senior,CDMX,Maestría,47,59435.48,47,12,3.8,2024-08-02
1015,Recursos Humanos,Junior,Guadalajara,Licenciatura,51,66251.35,54,9,4.7,2019-03-29
1016,Tecnología,Semi-Senior,Puebla,Licenciatura,43,68626.62,44,7,1.7,2015-02-19
1017,Tecnología,Junior,Guadalajara,Licenciatura,32,53380.25,41,9,4.6,2021-11-12
1018,Ventas,Semi-Senior,Puebla,Maestría,29,45078.44,38,7,1.7,2018-05-01
1019,Tecnología,Semi-Senior,Puebla,Maestría,57,96856.35,42,6,2.3,2023-06-12
1020,Tecnología,Semi-Senior,CDMX,Licenciatura,52,65091.15,37,8,4.2,2016-06-17
1021,Finanzas,Junior,Querétaro,Licenciatura,22,41395.3,39,6,2.1,2019-05-04
1022,Ventas,Semi-Senior,Monterrey,Licenciatura,39,76832.87,44,8,3.1,2024-03-23
1023,Finanzas,Semi-Senior,CDMX,Doctorado,58,50034.67,38,12,1.8,2019-06-04
1024,Marketing,Junior,Querétaro,Maestría,54,51405.1,42,11,4.0,2020-02-26
1025,Marketing,Junior,Puebla,Maestría,56,45385.39,36,6,3.3,2023-07-27
1026,Ventas,Junior,Monterrey,Técnico,30,66133.9,52,6,1.9,2016-02-08
1027,Marketing,Junior,Monterrey,Licenciatura,24,46671.18,53,9,4.2,2018-12-12
1028,Recursos Humanos,Junior,Querétaro,Licenciatura,32,31140.91,35,8,3.1,2021-02-13
1029,Ventas,Junior,Guadalajara,Técnico,24,46189.74,38,16,2.6,2022-02-12
1030,Ventas,Junior,Monterrey,Maestría,25,42394.04,46,10,4.0,2022-02-09
1031,Finanzas,Semi-Senior,Monterrey,Técnico,52,72160.12,42,6,1.1,2016-07-31
1032,Marketing,Semi-Senior,Guadalajara,Licenciatura,27,45716.62,44,8,4.5,2023-01-24
